Address,Subdivision Name,City,Cumulative Days On Market,Days On Market,SqFt,Fireplaces Total,Heating,Year Built,Utilities,Longitude,Latitude,HOA Fee,HOA Fee Frequency,HOA Type,Cooling,County,Covered Spaces,Carport Spaces,Close Date,Close Price,Bath Full,Baths Half,Baths Total,# Dining Areas,# Living Areas,Beds Total,Bath Total,Acres,Current Price
1205 15th  Place ,Belmont Terrace Add,Fort Worth,8,8,"1,300",0,None,1922,"City Sewer, City Water",-97.359388,32.772744,,,None,Ceiling Fan(s),Tarrant,0,0.0,04/29/2022,"$156,500",1,0,1/0,1,1,3,1,0.125,"$156,500"
2247 Lolita  Drive ,Bruton Estates,Dallas,6,6,820,0,None,1947,"City Sewer, City Water",-96.680511,32.751674,,,None,None,Dallas,1,1.0,04/26/2022,"$158,000",1,0,1/0,1,1,2,1,0.263,"$158,000"
1312 Chestnut  Street ,Orig Town Of Commerce,Commerce,7,7,"1,344",0,Central,1945,"City Sewer, City Water",-95.901303,33.246553,,,None,Central Air,Hunt,0,0.0,04/20/2022,"$159,500",2,0,2/0,1,1,3,2,0.198,"$159,500"
6708 Flamingo  Road ,Greenville Hills Add # 2,Greenville,6,6,"1,312",0,"Central, Electric",1980,"All Weather Road, Asphalt, City Sewer, City Water, Curbs, Individual Gas Meter, Individual Water Meter, Sidewalk, Underground Utilities",-96.112947,33.101439,,,None,"Ceiling Fan(s), Central Air, Electric",Hunt,2,0.0,05/16/2022,"$159,900",2,0,2/0,1,2,3,2,0.19,"$159,900"
6440 Tumbling Creek  Trail ,Highland Hills West,Dallas,8,8,"1,073",0,"Central, Natural Gas",1972,"City Sewer, City Water",-96.770232,32.661524,,,None,"Central Air, Electric",Dallas,0,0.0,04/14/2022,"$160,000",1,1,1/1,1,2,3,2,0.151,"$160,000"
604 Crane  Drive ,Midway Park Add,Euless,0,0,"1,360",0,Central,1964,"Cable Available, City Sewer, City Water, Concrete, Individual Gas Meter, Individual Water Meter, Phone Available",-97.091215,32.849615,,,None,"Ceiling Fan(s), Central Air, Roof Turbine(s)",Tarrant,0,0.0,04/06/2022,"$160,000",1,0,1/0,2,1,3,1,0.201,"$160,000"
2841 Britton  Drive ,Brightside,Dallas,17,17,"1,092",0,Central,1922,"City Sewer, City Water, Electricity Available",-96.807113,32.711497,,,None,Central Air,Dallas,0,0.0,05/06/2022,"$160,000",1,0,1/0,1,1,2,1,0.169,"$160,000"
2534  W Brooklyn  Avenue ,Winnetka Summit,Dallas,5,5,"1,099",0,None,1925,"City Sewer, City Water",-96.860556,32.738903,,,None,Window Unit(s),Dallas,0,0.0,04/29/2022,"$160,000",2,0,2/0,1,1,2,2,0.172,"$160,000"
525 Andenwood  Court ,Chambers Creek Add,Everman,6,6,"1,411",1,None,1978,"City Sewer, City Water, Electricity Connected",-97.273454,32.624808,,,None,Window Unit(s),Tarrant,2,0.0,05/06/2022,"$161,000",2,0,2/0,1,1,3,2,0.282,"$161,000"
2707 El Capitan  Drive ,Casa View Heights 14,Dallas,0,0,"1,102",1,"Central, Electric",1955,"City Sewer, City Water",-96.668652,32.855266,,,None,"Central Air, Electric",Dallas,0,0.0,05/20/2022,"$161,349",1,0,1/0,1,1,3,1,0.176,"$161,349"
2019 Joan  Drive ,None,Dallas,1,1,987,0,"Central, Electric",1953,"City Sewer, City Water",-96.697614,32.747258,,,None,"Ceiling Fan(s), Central Air, Electric",Dallas,1,1.0,04/25/2022,"$161,500",1,0,1/0,1,1,3,1,0.173,"$161,500"
517 Corry A Edwards  Drive ,Woodlea Acres Add,Kennedale,4,4,728,0,Space Heater,1945,"Cable Available, City Sewer, City Water, Concrete, Electricity Connected, Individual Gas Meter, Individual Water Meter, Overhead Utilities, Phone Available",-97.22651,32.649775,,,None,"Ceiling Fan(s), Window Unit(s)",Tarrant,0,0.0,04/28/2022,"$162,000",1,0,1/0,1,1,2,1,0.327,"$162,000"
7224 Ravehill  Lane ,Ragsdale,Dallas,9,9,"1,482",1,"Central, Fireplace(s)",1955,"All Weather Road, Cable Available, City Sewer, City Water, Curbs, Electricity Connected",-96.698447,32.752737,,,None,"Central Air, Electric",Dallas,2,0.0,03/21/2022,"$164,500",2,0,2/0,1,1,3,2,0.504,"$164,500"
3006 Sharon  Street ,Westmoreland Heights,Dallas,20,20,852,0,Space Heater,1943,"Alley, Asphalt, City Sewer, City Water, Curbs, Electricity Connected, Individual Gas Meter, Individual Water Meter, Sidewalk",-96.870455,32.729542,,,None,Ceiling Fan(s),Dallas,1,1.0,04/26/2022,"$165,000",1,0,1/0,1,1,3,1,0.17,"$165,000"
900 Parker  Street ,Kelco Acres Add,Fort Worth,11,11,748,0,Central,1949,"City Sewer, City Water",-97.243964,32.734954,,,None,Central Air,Tarrant,0,0.0,05/20/2022,"$165,000",1,0,1/0,1,1,2,1,0.238,"$165,000"
7230 Harold Walker  Drive ,Cema Village,Dallas,2,2,"1,346",1,Central,1972,"City Sewer, City Water",-96.812873,32.660155,,,None,"Ceiling Fan(s), Central Air",Dallas,0,0.0,04/29/2022,"$165,000",2,1,2/1,1,2,3,3,0.14,"$165,000"
209 Fairview  Street ,Southland Terrace Add,Garland,4,4,"1,709",0,None,1949,"Alley, Cable Available, City Sewer, City Water, Electricity Available, Individual Gas Meter, Individual Water Meter",-96.633895,32.904347,,,None,None,Dallas,1,0.0,04/18/2022,"$165,000",1,1,1/1,1,1,3,2,0.212,"$165,000"
6326 Silver Creek Azle  Road ,"BOSWELL, WILLIAM E SURVEY ABSTRACT",Azle,9,9,"2,208",0,Central,1910,Other,-97.53779,32.84109,,,None,Central Air,Tarrant,2,2.0,05/16/2022,"$165,000",2,0,2/0,1,1,3,2,1.028,"$165,000"
1650 Savage  Drive ,Edgemont Park 07,Mesquite,1,1,"1,211",0,"Central, Electric",1969,"City Sewer, City Water",-96.61793,32.746473,,,None,"Central Air, Electric",Dallas,2,0.0,05/12/2022,"$165,000",2,0,2/0,1,1,3,2,0.449,"$165,000"
5625 Arlington Park  Drive ,Arlington Park Estates,Dallas,6,6,"1,122",0,"Central, Natural Gas",1951,"City Sewer, City Water",-96.849261,32.814526,,,None,"Central Air, Wall/Window Unit(s), Window Unit(s)",Dallas,0,0.0,05/23/2022,"$165,000",2,0,2/0,1,1,2,2,0.177,"$165,000"
3830 Vanette  Lane ,Marsalis Park,Dallas,3,3,"1,080",0,"Central, Natural Gas",1955,"Cable Available, City Sewer, City Water",-96.817587,32.697569,,,None,Window Unit(s),Dallas,1,0.0,05/20/2022,"$165,200",1,0,1/0,1,1,2,1,0.179,"$165,200"
733 Timberoaks  Drive ,Lake Crest Park Add,Azle,5,5,"1,624",1,Central,1983,"Cable Available, City Sewer, City Water, Electricity Connected",-97.542522,32.90505,,,None,Central Air,Tarrant,2,0.0,05/24/2022,"$165,500",2,0,2/0,1,1,4,2,0.167,"$165,500"
2217  S Ewing  Avenue ,Trinity Heights,Dallas,3,3,"1,581",1,Wall Furnace,1920,"City Sewer, City Water",-96.811201,32.720692,,,None,Window Unit(s),Dallas,2,0.0,04/29/2022,"$165,600",1,0,1/0,1,1,2,1,0.176,"$165,600"
1813 Rayburn  Avenue ,White Stble,Mesquite,5,5,976,0,Other,1956,"City Sewer, City Water",-96.618386,32.789419,,,None,Central Air,Dallas,1,1.0,05/03/2022,"$166,177",1,0,1/0,1,1,3,1,0.309,"$166,177"
1614 Cottonwood  Street ,Fairview 04,Grand Prairie,1,1,"1,027",0,"Central, Natural Gas",1942,"City Sewer, City Water, Natural Gas Available",-96.983494,32.755727,,,None,Central Air,Dallas,0,2.0,05/17/2022,"$168,000",2,0,2/0,1,1,3,2,0.151,"$168,000"
10356 Chelmsford  Drive ,Nantucket Village,Dallas,14,14,963,1,None,1983,"City Sewer, City Water",-96.645196,32.74586,,,None,None,Dallas,0,0.0,05/17/2022,"$168,100",1,0,1/0,1,1,3,1,0.062,"$168,100"
1665 Bell  Avenue ,Saginaw Park Add,Blue Mound,4,4,"1,052",0,Central,1954,"City Sewer, City Water",-97.339633,32.859904,,,None,Central Air,Tarrant,0,0.0,05/20/2022,"$168,500",1,0,1/0,1,1,3,1,0.186,"$168,500"
5829 Haney  Drive ,Browning Heights North#21 & 22,Watauga,0,0,"1,160",0,Electric,1972,City Sewer,-97.256311,32.85953,,,None,Ceiling Fan(s),Tarrant,0,0.0,04/29/2022,"$170,000",2,0,2/0,0,1,3,2,0.2,"$170,000"
1005 Solomon  Drive ,Enlow Place Add,Commerce,8,8,"1,228",0,"Central, Electric",2000,"City Sewer, City Water, Curbs, Individual Water Meter, Sidewalk",-95.890323,33.238901,,,None,"Central Air, Electric",Hunt,0,0.0,05/09/2022,"$170,000",1,1,1/1,1,1,3,2,0.18,"$170,000"
2549 56th  Street ,Goldmine,Dallas,8,8,734,0,Space Heater,1953,"City Sewer, City Water",-96.779317,32.688685,,,None,Wall/Window Unit(s),Dallas,0,0.0,05/05/2022,"$170,000",1,0,1/0,1,1,2,1,0.17,"$170,000"
2518 Kahn  Street ,Alameda Heights,Dallas,5,5,"1,152",0,Central,1985,"City Sewer, City Water",-96.779715,32.67028,,,None,Central Air,Dallas,0,0.0,05/12/2022,"$170,000",2,0,2/0,1,1,3,2,0.19,"$170,000"
2022 Berwick  Avenue ,Cedar Crest Add,Dallas,5,5,"1,464",0,Space Heater,1924,"City Sewer, City Water, Electricity Available",-96.796791,32.728682,,,None,Wall/Window Unit(s),Dallas,0,0.0,05/16/2022,"$172,000",1,0,1/0,0,1,3,1,0.188,"$172,000"
4015 Western  Circle ,Western Acres Add # 1 # 4,Greenville,2,2,"1,528",0,Central,1970,"All Weather Road, Asphalt, City Sewer, City Water, Curbs",-96.123725,33.127508,,,None,"Central Air, Electric",Hunt,2,0.0,04/25/2022,"$172,500",2,0,2/0,1,2,3,2,0.26,"$172,500"
1125 Carbona  Drive ,Pleasant Grove Heights,Dallas,6,6,896,0,Electric,1948,"Asphalt, City Sewer, City Water, Electricity Available, Sidewalk",-96.691966,32.731023,,,None,Wall/Window Unit(s),Dallas,0,0.0,05/13/2022,"$173,000",1,0,1/0,1,1,2,1,0.321,"$173,000"
