City,,,,,,
Mabank,"<option value=""",64,""">",Mabank,</option>,"<option value=""64"">Mabank</option>"
Mansfield,"<option value=""",65,""">",Mansfield,</option>,"<option value=""65"">Mansfield</option>"
Maypearl,"<option value=""",66,""">",Maypearl,</option>,"<option value=""66"">Maypearl</option>"
McKinney,"<option value=""",67,""">",McKinney,</option>,"<option value=""67"">McKinney</option>"
McLendon Chisholm,"<option value=""",68,""">",McLendon Chisholm,</option>,"<option value=""68"">McLendon Chisholm</option>"
Melissa,"<option value=""",69,""">",Melissa,</option>,"<option value=""69"">Melissa</option>"
Mesquite,"<option value=""",70,""">",Mesquite,</option>,"<option value=""70"">Mesquite</option>"
Midlothian,"<option value=""",71,""">",Midlothian,</option>,"<option value=""71"">Midlothian</option>"
Milford,"<option value=""",72,""">",Milford,</option>,"<option value=""72"">Milford</option>"
Murphy,"<option value=""",73,""">",Murphy,</option>,"<option value=""73"">Murphy</option>"
Nevada,"<option value=""",74,""">",Nevada,</option>,"<option value=""74"">Nevada</option>"
New Hope,"<option value=""",75,""">",New Hope,</option>,"<option value=""75"">New Hope</option>"
Newark,"<option value=""",76,""">",Newark,</option>,"<option value=""76"">Newark</option>"
North Richland Hills,"<option value=""",77,""">",North Richland Hills,</option>,"<option value=""77"">North Richland Hills</option>"
Oak Leaf,"<option value=""",78,""">",Oak Leaf,</option>,"<option value=""78"">Oak Leaf</option>"
Ovilla,"<option value=""",79,""">",Ovilla,</option>,"<option value=""79"">Ovilla</option>"
Palmer,"<option value=""",80,""">",Palmer,</option>,"<option value=""80"">Palmer</option>"
Pantego,"<option value=""",81,""">",Pantego,</option>,"<option value=""81"">Pantego</option>"
Parker,"<option value=""",82,""">",Parker,</option>,"<option value=""82"">Parker</option>"
Pelican Bay,"<option value=""",83,""">",Pelican Bay,</option>,"<option value=""83"">Pelican Bay</option>"
Plano,"<option value=""",84,""">",Plano,</option>,"<option value=""84"">Plano</option>"
Princeton,"<option value=""",85,""">",Princeton,</option>,"<option value=""85"">Princeton</option>"
Prosper,"<option value=""",86,""">",Prosper,</option>,"<option value=""86"">Prosper</option>"
Quinlan,"<option value=""",87,""">",Quinlan,</option>,"<option value=""87"">Quinlan</option>"
Red Oak,"<option value=""",88,""">",Red Oak,</option>,"<option value=""88"">Red Oak</option>"
Richardson,"<option value=""",89,""">",Richardson,</option>,"<option value=""89"">Richardson</option>"
Richland Hills,"<option value=""",90,""">",Richland Hills,</option>,"<option value=""90"">Richland Hills</option>"
River Oaks,"<option value=""",91,""">",River Oaks,</option>,"<option value=""91"">River Oaks</option>"
Rockwall,"<option value=""",92,""">",Rockwall,</option>,"<option value=""92"">Rockwall</option>"
Rowlett,"<option value=""",93,""">",Rowlett,</option>,"<option value=""93"">Rowlett</option>"
Royse City,"<option value=""",94,""">",Royse City,</option>,"<option value=""94"">Royse City</option>"
Sachse,"<option value=""",95,""">",Sachse,</option>,"<option value=""95"">Sachse</option>"
Saginaw,"<option value=""",96,""">",Saginaw,</option>,"<option value=""96"">Saginaw</option>"
Sansom Park,"<option value=""",97,""">",Sansom Park,</option>,"<option value=""97"">Sansom Park</option>"
Seagoville,"<option value=""",98,""">",Seagoville,</option>,"<option value=""98"">Seagoville</option>"
Southlake,"<option value=""",99,""">",Southlake,</option>,"<option value=""99"">Southlake</option>"
Sunnyvale,"<option value=""",100,""">",Sunnyvale,</option>,"<option value=""100"">Sunnyvale</option>"
Talty,"<option value=""",101,""">",Talty,</option>,"<option value=""101"">Talty</option>"
Terrell,"<option value=""",102,""">",Terrell,</option>,"<option value=""102"">Terrell</option>"
Trophy Club,"<option value=""",103,""">",Trophy Club,</option>,"<option value=""103"">Trophy Club</option>"
Union Valley,"<option value=""",104,""">",Union Valley,</option>,"<option value=""104"">Union Valley</option>"
University Park,"<option value=""",105,""">",University Park,</option>,"<option value=""105"">University Park</option>"
Venus,"<option value=""",106,""">",Venus,</option>,"<option value=""106"">Venus</option>"
Watauga,"<option value=""",107,""">",Watauga,</option>,"<option value=""107"">Watauga</option>"
Waxahachie,"<option value=""",108,""">",Waxahachie,</option>,"<option value=""108"">Waxahachie</option>"
West Tawakoni,"<option value=""",109,""">",West Tawakoni,</option>,"<option value=""109"">West Tawakoni</option>"
Westlake,"<option value=""",110,""">",Westlake,</option>,"<option value=""110"">Westlake</option>"
Westworth Village,"<option value=""",111,""">",Westworth Village,</option>,"<option value=""111"">Westworth Village</option>"
White Settlement,"<option value=""",112,""">",White Settlement,</option>,"<option value=""112"">White Settlement</option>"
Wills Point,"<option value=""",113,""">",Wills Point,</option>,"<option value=""113"">Wills Point</option>"
Wilmer,"<option value=""",114,""">",Wilmer,</option>,"<option value=""114"">Wilmer</option>"
Wylie,"<option value=""",115,""">",Wylie,</option>,"<option value=""115"">Wylie</option>"
